uid,ds,seq
2,2020-01-06,"99,86,19,7,59,28,48,31,16,32,1,38,30,58,95,96,64,9,99,89,29,35,62,39,81,29,37,89,89,57,94,25,68,90,68,56,91,73,97,35,45,24,87,46,48,81,80,89,9,90,59,95,49,49,45,96,32,24,69"
2,2020-01-07,"71,21,2,71,72,62,84,20,37,85,40,62,30,62,51,35,12,23,58,48,87,93,65,87,23,88,41,98,84,81,70,42,78,56"
2,2020-01-08,"90,9,25,90,82,22,84,98,34,71,64,21,55,27,93,73,68,38,80,85,82,16,65,56,75,58,73,77,94,50,4,89,90,92,6,21,75,44,32,27,65,36,46,82,35,65,16,3,6,16,13,13,51,61,46,60,52,57,66,56,47,40,28,51,1,23,19,55,75,98,87,64,92,2,7,98,78"
2,2020-01-09,"82,82,80,48,20,16,85,73,42,37,85,41,32,87,94,76,90,84,3,49,12,23,85,89,55,48,48,89,35,63,45,51,36,7,33,88,54,58,18,95,75,78,11,10,10,28,25,93,89,71,100,25,66,55,47,34,24,8,61,62,33,62,45,3,31,90,41,4,18,98,58,83,54,48,98,82,1,68,62,5,44,67,2,76,97,96"
2,2020-01-10,"89,86,82,21,47,33,50,48,13,56,60,8,13,16,25,68,63,48,76,22,91,45,61,89,13,49,41,81,80,19,57,89,94,83,79,70,30,7,39,74,89,84,69"
3,2020-01-01,"46,84,75,8,96,89,87,27,3,87,39,32,41,29,47,68,1,74,90,99,58,79,78,53,71,83,9,84,29,1,11,91,78,80,45,78,33,61,74,12,4,21,50,100,18,73,100,38,45,84,66,9,70,25,38,33,99,20,80,77,21,15,27,16,55,25,70,64,50"
3,2020-01-02,"16,51,17,12,35,39,50,91,82,36,5,94,41,7,15,78,33,46,87,91,17,42,58,84,70,79,27,97,65,64,54,45"
3,2020-01-03,"79,41,53,30,89,96,36,2,42,66,59,67,37,55,35,33,14,48,83,55,59,17,67,100,75,76,11,68,33,34,40,43,41,67,39,94,47,49,52,92,37,2,73,41,54,89,17,34,77,62,52,6,95,26,97,89,19,59,7,63,66,91"
3,2020-01-04,"77,20,67,83"
3,2020-01-05,"12,61,22,30,98,26,62,69,90,44,46,79,53,52,20,77,26,50,3,41,84,43,84,25,22,12,2,79,93,96,67,75,47,71,61,55,20,93,9,77,66,76,24,17,16,57,28,62,3,66,29,100,5,69,82,31,10,22,87,74,79,69,53,42,52,31,6,19,66,51,76,92,71,40,89,75,95,26,58,43,33,27,82,65,96,30,79,36,26,87,63,5,32,91"
3,2020-01-06,"54,97,86,23,51,49,39,55,54,97,39,89,95,20,1,77,47,93,34,55,60,65,56,88,18,38,2,27,26,17,84,100,96,31,28,65,84,93,65,74,19,21,73,80,82,16,67,81,77,77,48,46,79,90,56,7,54,28,25,62,18,65,36,82,34,29,73,39,10,27,18,71,95,94,61,81,8,36,39,33,90,9,25,100,96,56,11,54,73,96,8"
3,2020-01-07,"60,95,61,77,30,29,92,97,32,50,25,89"
3,2020-01-08,"78,62,10,41,10,49,3,33,10,72,31,57,51,30,27,68,84,58,33,87,49,68,54,21,65,22,32,31,27,85,77,25,59,9,30,72,62,37,76,27,67,56,43,90,75,23,62,67,23,86,66,44,11,17,92,80,59,62,85,54,61,9,14,96,16,57,26,53,88,37,32,18,90,18,81,16,84,12,33"
3,2020-01-09,"80,40,95,45,95,54,55,23,77,66,22,51,6,76"
3,2020-01-10,"65,16,8,97,68,62,5,95,23,37,64,35,7,8,12,41,94,81,82,55,59,85,15,44,24,19,64,87,34,15,52,47,31,69,11,90,50,86,69,62,14,27,74,41,67,54,45,46,28,9"
4,2020-01-01,"4,27,24,23,51,71,75,45,83,42,29,27,97,87,9,82,85,33,41,27,9,51,55,41,66,38,30,49,8,62,2,37,90,41,69,98,96,78,23,21,78,94,64,49,19,53,25,16,36,33,61,29,41,48,14,79,67,92,4,30,11,20,7,98,63,94,94,81,76,25,79,22,91,3,19,95,99,35,22"
4,2020-01-02,"73,74,16,74,30,55,31,96,75,3,29,40,54,92,16,62,13,66,51,14,3,13,64,64,55,93,65,45,72,27,26,58,87,93,85,76,2,69,60,69,79,98,88,51,79,85,37,30,62,84,43,8,83,52,34,38,69,92,6,30,81,80,97,82,60,10,5,9,66,38,27,95,66,29"
4,2020-01-03,"41,9,70,95,47,91,68,33,85,55,83,30,34,42,2,3,6,26,97,20,4,11,97,47,3,52,64,41,4,17,93,74,14,57,66,57,12,22,40,95,1,94,14,1,98,92,44,27,1,37,2,90,77,44,97,88,4,48,14,2,35,35,22,14,64,72,69,37,77,8,70,73,2,65,24"
4,2020-01-04,"9,42,51,69,20,54,66,14,77,56,20,10,4,93,17,49,86,88,27,41,4,61,91,97,10,13,100,79,34,60,79,7,36,9,53,40,85,38,12,81,65,78,58,66,86,77,11,21,40,33,52,55,71,47,87,86,47,19,80,35,27,79,21,85,65,91,22,89"
4,2020-01-05,"43,2,7,15,60,85,36,1,32,22,25,23,49,21,82,87,69,19,97,35,80,23,58,23,28,95,27,82,10,44,7,31,87,18,37,85,36,40,8,69,49,25,28,55,55,54,11,31,57,30,31,95,36,25,67,93"
4,2020-01-06,"60,17,66,17,33,24,23,74,59,6,72,80,29,6,4,8"
4,2020-01-07,"55,56,79,75,46,84,91,86,78,30,67,35,39,17,5,69,69,1,38,30,17,17,94,3,27,22,27,91,90,42,56,19,42,38,49,69,20,91,34,30,40,46,83,98,36,8,1,65,15,36,29,98,2,61,91,39,14,98,87,56,86,29,11,55,9,40,45,59,16,49,99,68,90,65,21,22"
4,2020-01-08,"66,7,98,31"
4,2020-01-09,"35,42,20,92,20,54,49,97,60,88,34,67,37,98,2,73,30,56,29,61,30,65,83,83,77,73,6,50,13,87,70,25,24,98,47,82,93,2,65,86,1,45,42,2,26,99,73,15,41,47,31,89,47,48,2,40,15,59,88,14,92,68,68,99,41,3,44"
4,2020-01-10,"81,76,90,10,86,54,48,35,80,10,64,45,44,61,95,2,55,42,31,94,91,34,12,8,96,54,27,2,6,86,6,2"
5,2020-01-01,"90,25,13,54,24,55,38,70,82,17,89,43,7,54,71,93,59,1,10,87,17,11,26,89,2,91,17,70,76,85,95,20,16,60,60,25,33,91,44,11,85,14,88,70,5,45,66,47,4,95,85,63,94,20,23,42,39,61,56,77,13,89,47,80,72"
5,2020-01-02,"33,42,36,47,3,44,50,42,18,23,16,7,99,13,55,79,32,88,11,17,75,17,96,11,84,38,40,39,48,57,9,6,5,9,6,4,13,32,96,64,81,60,93,45,48,60,62,44,46,66,17,87,44,21,70,97,56,93,18,89,20,71,42,74,22,54,67,16,13,9,6,84,94,92,54,27,6,30,4,67,52,75,30,34,42,91,92,50,4,23,52,59,2,54,8,11,15"
5,2020-01-03,"47,74,86,91,34,53,41,84,77,75,35,95,57,43,6,49,73,21,33,100,48,87,29,91,64,67,48,34,63,23,57,18,85,69,99,40,78,51,81,71,27,91,66,73,59,30,15"
5,2020-01-04,"36,47,58,84,18,93,49,17,98,46,20,17,39"
5,2020-01-05,"72,88,86,47,16,35,82,100,84,47,53,4,95,35,54,50,42,41,100,63,68,56,77,22,18,24,84,40,10,15,27,8,19,11,28,4,10,57,31,27,2,28,64,22,7,94,95,80,13,98,88,54,13,14,50,75,57,34,40,68,2,2,21,66,87,6,24,21,46,69,5,78,10,44,3,91,10,87"
5,2020-01-06,"23,36,61,43,16,56,64,69,70,26,6,7,56,65,72,96,33,20,86,48,38,52,28,69,77,23,3,18,12,6,7,57,24,6,14,31,35,35,53,87,14,34,86,47,19,92,73,53,21,93,52,97,13,50,73,25,74,31,87,27,12,41,72,82,4,81,95,80,57,17,54,92,6,26"
5,2020-01-07,"64,5,63,87,2,56,4,33,16,39,25,90,6,66,30,79,21,86,100,7,73,34,87,52,37,26,25,47,9,70,40,50,55,81,88,81,5,24,27,20,66,87,15,16,69,33,8,79,55,81,48,12,69,6,56,70,23,49,81,88,96,86,17,63,91,15,18,95,89,2,82,82,84,46,89,14,99,93,7,27,40,36,37,13,49,23,47,9,83"
5,2020-01-08,"55,74,57,20,69,43,2,14,34,47,40,87,8,92,21,22,15,66,47,49,2,7,61,67,42,30,15,31,95,59,63,25,45,23,34,40,9,88,91,17,63,6,68,78,5,73,7,77,100,87,4,73"
5,2020-01-09,"65,38,56,79,69,21,23,35,95,48,91,7,41,30,38,61,46,95,91,9,7,34,14,4,97,96,61,22,82,29,84,53,57,8,20,95,66,51,89,68,24,66,30,7,73,31,32,99,17,77,6,64,89,25,96,30,98,42,25,9,81,32,43,90,55"
5,2020-01-10,"34,2,85,20,98,98,47,38,39,29,1,22,76,34,62,86,4,21,47,88,94,47,59,84,10,66,43,9,23,29"
6,2020-01-01,"71,87,100,48,89,46,77,70,27,48,52,52,84,35,89,56,82,86,20,78,99,56,87,95,74,54,46,58,43,68,69,4,29,28,32,75,84,13,48,66,100,99,98,37,5,13,30,14,56,97,76,18,27,13,42,83,77,50,75,49,96,77,58,86,13,87,7,73,79,26,56"
6,2020-01-02,"4,84,57,62,20,74,51,95,68,84,46,28,5,66,11,38,80,33,27,77,49,51,40,42,53,72,8,13,3,81,21,84,9,91,29,4,76,18,64,79,29,6,6,44,8,5,41,86,73,61,66,44,97,59,100,46,43,25"
6,2020-01-03,"93,36,85,47,49,5,70,46,30,11,5,68,13,49,98,35,7,62,98,92,53,60,19,5,17,80,61"
6,2020-01-04,"82,56,51,33,36,54,11,37,56,80,100,38,76,14,26,29,34"
6,2020-01-05,"91,55,12,56,79,45,16,67,60,22,58,82,63,93,87,92,85,87,34,73,65,52,53,26,73,67,39,81,70,21,58,83,17"
6,2020-01-06,"22,15,96,58,38,50,67,78,41,32,47,56,90,30,54,26,75,97,92,46,100,64,55,24,60,65,2,58,25,61,78,5"
6,2020-01-07,"69,88,22,32,44,44,63,89,60,18,83,17,21,100,56,59,73,20,29,16,36,20,66,93,46,68,12,76,83,4,54,43,72,81,30,2,92,65,35,58,56,7,8,2,87,25,72,60,33,51,9,66,86,22,35,54,30,81,71,67,30,95,31,26,27,47,21,17,73,35,6,65,38,33,40,57,20,89,31,1,75,93"
6,2020-01-08,"49,97,73,92,76,36,46,100,59,45,8,93,91,16,28,13,48,63,97,65,33,77,44,98,20,31"
6,2020-01-09,"19,66,2,10,7,22,34,58,54,79,71,98,94,27,62,91,16,56,79,62,14,52,40,38,29,66,86,95,14,47,38,31,52,28,60,60,82,91,95,56,48,86,15,78,68,16,90,68,95,41,74,40,45,21,69,100,92,33,25,39,43,26,62,72,69,59,27,28,46,98,98,97,34,2,45,74,6,72"
6,2020-01-10,"34,80,29,13,36,83,88,89,45,92,41,37,21,27,49,69,25,89,73,33,75,73,26,81,30,96,68,33,83,83,82,47,34,65,57,79,34,79,71,10,4,48,78,6,49,40,10,74,29,34,55,42,7,86,64,80,19,56,55,33,95,32,70"
7,2020-01-01,"70,26,23,69,19,21,5,87,76"
7,2020-01-02,"55,77,96,61,24,55,68,8,80,57,89,67,72"
7,2020-01-03,"28,25,95,61,99,15,60,5,38"
7,2020-01-04,"93,10,96,69,29,76,63,31,94,78,68,92,26,33,90,78,41,5,1,79,89,19,46,15,9,99,75,90,57,73,28,57,68,70,25,3,88,90,26,10,4,84,37,100,63,88,44,33,19,79,94,95,13,86,26,53,11,6,18,9,36,94,61,32,91,31,67,22,48,50,40,4,94,2,34,49,20,62,90,23,31,66,22,87,55,21,81,81"
7,2020-01-05,"60,86,23,12,77,25,45,22,34,99,66,94,92,81,56,59,36,62,27,98,27,89,94,66,59,14,73,73,47,77,98,69,2,3,75,48,49,34,62,45,33,94,37,46,13,74,4,42,32,25,3,65,82,9,20,42,60,97,63,100,66,72,3,14,39,16,42,27,35,1,15,35,70,89,54,85,90"
7,2020-01-06,"43,77,73,92,35,12,73,31,59,97,9,24,42,58,47,54,24,25,50,92,37,52,8,98,63,21,62,87,81,12,83,76,94,83,47,94"
7,2020-01-07,"19,42,48,32,83,5,84,93,45,37,54,86,95,47,39,49,65,63,45,97,79,26,38,34,62,7,17,30,1,85,45,23,59,99,86,80,71,51,25,93,12,82,27,53,48,35,41,81,38,38,71,54,30,51,59,92,72,59,28"
7,2020-01-08,"68,100,67,46,82,82,66,23,59,80,10,35,83"
7,2020-01-09,"55,53,55,61,65,100,59,91,29,83,19,86,80,75,76,22,96,26,93,60,20,57,46,25,50,81,67,92,74,45,3,99,51,53,13,92,57,91,46,87,68,34,5,12,38,69,16,73,64,23,7,94,97,28,15,77,31,47,87,32,80,42,84,55,36,8,62,39,53,96,89,39,47,9,74,41,52,33,85,79,10,52,30,94,28,25,64,29,16,2,7,27,46,35,58,81,53,46,69"
7,2020-01-10,"47,59,26,32,71,32,83,47,7,22,54,81,18,83,82,100,46,83,82,53,93,19,25,63,65,44,13,42,24,62,81,28,89,71,32,65,72,17,86,78,66,53"
8,2020-01-01,"23,80,21,96,80,81,32,75"
8,2020-01-02,"25,42,66,77,51,80,89,80,46,15,43,39,83,57,58,49,84,39,51,45,6,54,46,92,70,54,89,57,29,39,85,25,2"
8,2020-01-03,"80,45,85,98,22,96,72,34,41,12,66,63,28,96,77,83,26,99,91,88,15"
8,2020-01-04,"94,33,61,51,70,40,22,68,82,51,69,31,9,95,25,36,57,50,13,55,70,3,69,22,11,13,90"
8,2020-01-05,"44,87,94,80,75,67,2,48,34,96,22,7,54,98,8,56,5,79,71,44,19,33,36,43,87,64,2,8,49,85,52,16,46,62,43,34,76,64,35,92,93,26,96,86,100,11,6,42,88,48,47,89,40,74,84,34,30,14,51,91,48,18,35,6,80,27,20,6,57,26,40,40,34,33,68,91,40,1,57,15,99,36,26,15,32,33"
8,2020-01-06,"86,69,17,47,29,57,20,53,47,21,77,81,91,44,31,73,38,33,55,70,74,76,33,77,91,41,100,74,38,89,95,51,49,50,33,64,15,35,91,75,63,65,24,28,48,62,66,87,30,30,48,44,84,56,95,79,61,87,36,64,6,25,69,35,42,18,35,85,78,57,4,26,83,70"
8,2020-01-07,"69,99,74,50,5,21,93,56,42,7,16,8,38,13,49,65,29,81,21,42,66,40,41,71,12,32,31,93,70,50,7,70,25,30,25,8,11,33,19,51,53,60,51,61,75,80,22,62,22,12,52,47,68,45,100,69,39,92,82,61,2,36,95,41,95"
8,2020-01-08,"13,18,2,1,87,38,57,80,17,52,78,6,29,52,79,40,49,25,84,50,19,38,12,60,4,14,20"
8,2020-01-09,"80,53,82,100,69,30,75,89,84,8,61,61,10,94,22,93,50,40,75,81,10,61,59,12,39,65,49,97,79,90,35,47,95,81,57,92,17,99,21,88,69,30,92,11,52,39,74,3,95,93,99,28,39,3,75,74,67,98,23,2,20,38,86,61,38,19,5,46,47,71,82,49,31,36,47,2,6,88,37,9,47,52,59,38,12,73"
8,2020-01-10,"81,81,29,9,90,84,8,2,6,59,16,23,45,66,33,53,61,8,31,15,58,61,11,50,55,21,37,80,16,37,66,20,48,7,89,60,21,21,79,3,20,81,39,95,59,29,56,66,53,5,24,32,38"
9,2020-01-01,"20,78,30,96,22,4,55,10,72,3,93,28,50,14,38,41,76,33,35,97,57,97,38,100,71,94"
9,2020-01-02,"76,26,70,87,91,31,92,24,96,81,24,84,70,23,48,62,41,37,25,28,95,6,74,44,17,70,60,33,88,29,23,53"
9,2020-01-03,"75,98,62,34,49,49,77,11,97,10,40,89,51,78,26,30,26,21,28,82,11,99,61,61,22,55,73,40,69,18,20,55,25,40,14,48,66,3,84,61,79,93,79,48,47,69,45,75,29,28,71,14,56,73,59,46,37,26,63,57,6,1,47,80,54,28,53,50,87,22,49,60,54,28,99,39,64,8,46,51,57,20,39"
9,2020-01-04,"70,68,16,13,33,67,61,86,24,15,34,9,52,19,53,79,39,100,52,56,13,30,1,56,44,38,44,82,21,56,76,40,4,90,7,14,20,5,24,74,60,7,16,44,39,3,82,46,38"
9,2020-01-05,"40,56,45,21,32,71,13,49,32,9,45"
9,2020-01-06,"15,68,22,55,63,66,85,97,74,88,68,80,28,64,64,19,61,49,87,69,8,28,83,80,53,6,2,6,41,8,29,1,47,35,87,33,81,27,33,60,29,35,39,92,30,64,99,50,11,95,12,21,85,25,98,45,94,36,81,13,87,35,100,13,90,97,14,72,62,100,85,60"
9,2020-01-07,"81,56,55,25,2,7,81,65,71,66,68,91,21,6,34,16,100,85,48,63,31,20,56,6,12,96,71,72,18,67,95,26,55,55,28,29"
9,2020-01-08,"55,99,82,28,34,86,68,93,17,27,47,65,69,26,1,48,55,85,67,36,2,82,60,92,67,11,67,19,46,16,11,20,52,55,31,14,8,46,71,78,7,9,43,69,12,81,73,39,73,5,69,92,39,33,95,6,27,5,26,21,22,56,45,45,63,52,90,10,89,54,22,28,5,61,75,1,39,67,83,87,61,5,11,37,65,65,48,10,64,16,86,80,75,73,100,2,45,53,79,80"
9,2020-01-09,"74,77,13,43,67,50,13,79,93,42,86,90,82,68,9,40,98,92,27,42"
9,2020-01-10,"10,36,46,32,37,30,2,21,24,32,8,99,87,3,23,68,44,41,37,48,49,79,96,10,43,73,18,13,13,26,64,7,91,83,41,53,79,30,97,17,78,59,84,59,19,96,34,35,26,54,17,43,41,44,47,65,11,33,54,27"
10,2020-01-01,"38,26,29,86,72,16,50,95,79,100,10,25,24,84,88,61,94,22,71,20,61,75,98,69,55,19,8,12,80,4,61,73,1,5,91,59,95,62,3,93,97,9,36,96,5,27,3,9,59,90,56,12,51,74,2,31,16,98,100,11,23,66,82,9,23,1,41,61,63,64,79,50,86,75,55,89,4,76,95,29,56,42,12,60,49,17,80,27,37,58"
10,2020-01-02,"19,100,74,37,66,95,83,82,86,70,40,27,55,44,94,67,26,67,13,31,33,45,36,65,48,69,30,63,5,36,79,58,54,67,73,32"
10,2020-01-03,"1,33,88,56,93,72,97,6,91,43,89,71,6,95,49,58,54,23,95,94,16,82,76,49,56,45,24,22,28,97,74,74,2,33,24,33,14,93,63,1,95,22,28,28,96,42,51,95,91,22,43,80,5,70"
10,2020-01-04,"73,77,55,73,53,32,18,34,79,8,30,1,35,82,69,82,96,34,9,2,99,39,98,20,98,47,83,22,20,59,29,17,78,66,79,79,72,2,54,21,35,12,7,93,89,85,100,97,61,49,37,9,63,82,20,72,2,32,37,48,50,31,47,53,33,26,25,9,4"
10,2020-01-05,"98,45,51,15,33,34,29,76,70,25,75,49,12,72,54,64,66,6,50,51,63,23,99,89,57,4,23,37,83,74,16,44,88"
10,2020-01-06,"25,49,87,76,55,83,6,50,73,42,23,2,57,87,64,64,78,46,7,97,74,57,69,85,60,41,73,63,94,7,21,59,8,89,95,16,100,91,67,98,15,95,8,52,55,96,79,65,79,78,86,74,59,27,39,27,62,13,97,73,76,33,5,31,23,54,44,20,2,51,47,38,45,79,42,7,95,46,94,3,21,95,6,77,98,31,61,97,16,81,89,13"
10,2020-01-07,"62,37,19,85,46,75,5,22,37,3,77,13,39,49,12,30,10,58,40,74,43,45,1,36,8,21,95,66,60,2,77,59,34,90,37,68,89,100,73,86,23,86,68,99,11"
10,2020-01-08,"2,21,1,85,6,15,70,17,51,79,92,69,62,8,8,59,12,44,64,7,67,5,76,81,34,32,51,84,70,32,79,43,79,39,76,26,46,5,94,3,83,55,9,47,29,30,48,44,81,79,63,28,79,17,99,43,82,41,14"
10,2020-01-09,"98,60,55,58,78,100,58,31,39,19,27,60,22,64,70,10,42,26,26,81,44,91,35,49,61,35,20,72,21,84,60"
10,2020-01-10,"22,89,63,90,79,17,15,35,11,63,60,85,84,53,45,2,34,33,32,69,79,26,81,45,38,68,64,59,8,72,79,9,50,86,27,47,19,71,11,97,27,24,42,35,71,76,74,98,88,64,51,23,13,24,91,40,16,66,26,77,79,35,75,82,25,85,61,15,41,74,63,17,84,71,21,79,61,100,47,2,72,11,8,72,45,53,58,44,13"
11,2020-01-01,"1,47,14,35,76,97,10,87,31,45,1,1,53,93,100,61,51,69,82,23,60,82,79"
11,2020-01-02,"40,30,14,61,8,97,90,79,45,73,30,9,32,45,75,84,47,44,55,15,5,2,81,69,8,40,47,26,76,7,1,78,10,33,88,62,5,78,28,100,66,67,5,29,92,44,3,10,98,6,49,60,4,27,90,43,6,89,37,76,55,96,95,98,81,47"
11,2020-01-03,"63,66,94,27,62,54,27,92,61,46,35,88,96,78,17,14,63,24,13,15,29,75,7,83,89,51,85,21,53,6,17,2,12,51,30,58,100,34,100,38,43,64,99,55,83,62,17,45,64,5,93,32,6,32,55,58,46,66,48,59,31"
11,2020-01-04,"96,88,98,30,15,83,73,55,34,2,27,90,84,56,32,18,100,14,38,100,41,37,59,68,3,39,16,90,34,29,76,89,42,59,87,12,77,56,2,2,63,67,85,88,81,68,18,81,60,47,16,4,1,34,24,9,14,31,10,84,94,93,41,13,30,24,64,10,45,77,68,49,8,93,64,95,41,41,79,77,63"
11,2020-01-05,"87,68,23,73,90,98,53,28,68,4,44,60,62,82,92,42,29,41,21,96,81,64,10,71,64,88,17,15,89,16,19,47,10,88,54,10,21,58,27,43,7,27,21,4,75,56,85,100,44,44,71,45,55,8,58,64,42,69,91,95,26,25,68,45,78,70,21,27,91,4,18,58,75,18,85,65,62,62,95,3,99,16,47,38,12,75,54,94,31,14,50,43,19,82,3,43,85,28"
11,2020-01-06,"35,31,19,91,54,39,80,89,96,4,6,89,76,77,81,17,58,29,58,27,60,28,62,69,37,59,40,87,39,11,97,69,17,6,97,90,95,7,100,7,15,31,42,65,16,85,51,56,83,55,27,52,50,57,31,9,100,80,41,77,1,20"
11,2020-01-07,"30,10,95"
11,2020-01-08,"3,61,53,70,19,67,25,79,23,79,97,38,13,6,27,36,45,81,34,34,28,37,90,82,28,87,92,55,94,22,64,3,2,55,71,41,16,21,6,68,68,55,94,6,4,52,24,24,25,73,40,65,60,37,43,38,35,15,11,77,23,26,55,58,19,32,71,63,55,34,13,23,61,60,78,47,18,14,20,81,3,50,28,21,20,62,47,100,94,9,2,31,59"
11,2020-01-09,"40,29,84,19,26,47,57,7,72,33,60,10,46,21,46,29,39,49,34,6,62,78,74,30,99,23,74,89,17,75,83,5,9,19,46,91,73,88,23,38,24,34,26,65,3,49,54,93,35,92,21,43,1,51,83,69,3,83,81,17,99,22,62,51,71,28,14,26,3,17,66,56,29,23,17,11,27,10,26,62,78,23,46,31,8,15"
11,2020-01-10,"60,69,5,14,75,57,69,33,9,79,57,81,73,42,55,4,45,2,57,50,36,39,34,67,3,89,21"
12,2020-01-01,"96,93,89,67,21,63,18,7,58"
12,2020-01-02,"51,2,25,18,14,29,97,42,97,95,42,76,63,2,100,10,63,83,26,26,16,66,10,75,51,11,85,95,90,20,90"
12,2020-01-03,"30,40,25,85,65,25,42,81,18,51,29,61,88,79,74,62,18,31,8,7,35,68,14,16,73,88,71,10,9,24,14,66,71,75,89,17,81,45,90,68,36,66,5,40,70,29,13,39,19,49,62,94"
12,2020-01-04,"55,28,25,40,2,90,40,39,65,79,51,10,78,11"
12,2020-01-05,"48,95,17,21,31,39,31,66,86,98,63,46,13,68,74,8,46,1,55,13,13,26,2,1,32,93,7,86,72,60,15,52,49,35,41"
12,2020-01-06,"98,31,93,34,39,45,33,14,18,26,16,11,40,56,81,85,33,26,16,84,35,78,22,50,49,18,38,51,77,64,31,71,95,66,38,14,1,2,82,63,32,55"
12,2020-01-07,"23,12,99,16,87,87,89,74,6,77,25,80,84,41,37,54,24,16,14,88,5,24,74,7,78,88,100,32,3,21,92,28,83,79,68,37,90,21,36,95,89,1,78,87"
12,2020-01-08,"95,57,92,51,59,45,100,46,85"
12,2020-01-09,"29,62,96,41,50,63,46,48,32,13,59,14,50,63,95,9,7,73,66,81,100,4,21,7,18,78,5,62,52,41,62"
12,2020-01-10,"26,27,17,15,86,61,46,39,80,90,89,35,37,89,38,46,30,92,94,32,20,43,82,88,18,36,84,54,82,67,2,67,39,56,21,42,44,78,98,18,9,12,23,64,40,96,23,79,44,80,16,65,86,97,7,53,53,16,37,56,78,3,44,95,87,93,39,46,75,27,1,33,92,49,96,85,1,4,41,45,13"
13,2020-01-01,"19,7,32,47,34,29,11,77,12,98,44,95,27,95,95,27,9,29,58,71,79,48,85,99,17,41,8,8,98,85,13,53,23,89,71,72,93,45,50,31,15,71,55,8,49,83,5,98,64,5,53,73,27,20,27,2,52,98,100,21,56,96,54,66,65,28,36,91,38,67,41,57,21,9,87,29,29,12,75,4,8,79,40,11,57,53,14,17,80,19,6,53,37,24,24,11,78,37"
13,2020-01-02,"95,1,63,16,99,58,45,63,20,93,71,90,95,42,52,85,30,94,41,21,62,67,8,20,91,82,99,33,19,94,13,76,15,40,72,11,54,93,46,67,46,94,76,50,62,75,82,95,13,91,20,58,80,96,94,84,60,5,96,1,23,80,45,49,84,88,67,82,40,25,21"
13,2020-01-03,"99,69,65,85,29,27,39,79,5,62,32,94,42,2,68,7,94,83,12,89,89,1,80,82,78,61,51,10,97,34,82,32,10,48,80,26,10,8,45,30,93,2,18,17,65,6,95,34"
13,2020-01-04,"99,97,23,88,68,64,34,36,35,83,76,52,100,7,34,32,66,41,99,43,42,81,21,59,21,53,9,68,90,60,63,66,58,23,46,69,85,85,44,36,96,63,38,78,27,50,63,63,81"
13,2020-01-05,"60,83,53,59,80,48,9,66,97,32,8,83,30,21,70,4,82,46,67,76,46,81,84,92,62,1,88,1,44,6,69,83,78,24,87,29,16,97,32,25,39,53,43,35,58,91,2,39,71,6,57,59,62,37,31,12,91,73,82"
